inputDataLabel,outputDataLabel,inputVersion,outputVersion,varId,used,name,nameWithinFile,datasetGroupPath,bitPosition,bitCount,type,divisor,unit,min,max,nodata_value,nodata_value2,resamplingFactor,comment,Comment_2
Data label of the file used as an input,Data label of the file generated as an output,version of the input,Version of the output,Unique id of the output variable,"1: included in the generation, 0: excluded",,Field name in the file,For .h5 files,,,,,,,,,,1: 2400x2400 for mod09ga. 2: 1200x1200,0,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,1,0,reflectance_1_620_670,,,,,uint8,1,hundredth,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,2,0,reflectance_2_841_876,,,,,uint8,1,hundredth,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,3,0,reflectance_3_459_479,,,,,uint8,1,hundredth,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,4,0,reflectance_4_545_565,,,,,uint8,1,hundredth,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,5,0,reflectance_5_1230_1250,,,,,uint8,1,hundredth,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,6,0,reflectance_6_1628_1652,,,,,uint8,1,hundredth,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,7,0,reflectance_7_2105_2155,,,,,uint8,1,hundredth,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,15,0,cloud,,,,,uint8,,unitless,0,3,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,16,0,cloudshadow,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,17,0,landwater,,,,,uint8,,unitless,0,7,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,18,0,aerosol,,,,,uint8,,unitless,0,3,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,19,0,cirrus,,,,,uint8,,unitless,0,3,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,20,0,Intcloudflag,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,21,0,Intfireflag,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,22,0,MOD35snow,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,23,0,cloudadj,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,24,0,saltpan,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,25,0,Intsnow,,,,,uint8,,unitless,0,1,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,26,0,modland,,,,,uint8,,unitless,0,3,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,27,0,bandQA1,,,,,uint8,,unitless,0,15,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,28,0,bandQA2,,,,,uint8,,unitless,0,15,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,29,0,bandQA3,,,,,uint8,,unitless,0,15,,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,30,0,bandQA4,,,,,uint8,,unitless,0,15,,,1,,
